ID Number,Title,MKEY,Category,Localized Subject/Theme,LCSH Subject/Theme,Current Countries,Previous Countries,Editor-in-Chief,Photographer(s),Writer(s),Artist(s),Map and Diagrams By,Back Publishing Info,Maker,Contents,Description,Issue No.,,Issue No. (Sort)
2023.020.003,"USSR in Construction No. 11, 1934",51838,Collectivization & State Farms; Labor & Workers; Mining & Resource Extraction,Kazakhstan; Resource Extraction; Collectivization,Kazakhstan—Economic conditions—1917–1945; Mines and mineral resources—Kazakhstan; Collective farms—Kazakhstan; Soviet Union—Economic policy—1928–1938; Soviet Union—Politics and government—1925–1953; Industrialization—Soviet Union,Kazakhstan,USSR,G. L. Pyatakov,E. Langman; D. Shulkin,-,A. Rodchenko; Varvara,M. Malyutin,,The State Publishing House of Graphic Arts,,"USSR in Construction, No. 11, November 1934. Grey-green and black cover with grey-green writing and photo of a tree, clouds, and power lines. Material language is English (magazine was published in four languages: Russian, English, German, and French). Issue focuses on progress in Hibinogork (a northern, tundra region) since the subject was first covered in the December, 1932 issue. Content includes images of landscape (especially the Kukisvumchorr mountain), railways, residences and activities of workers and researchers (such as Nivagres), and apatite exports. Pencil marked ""35"" on front (probably to indicate the price of magazine, which sold for 35 cents in the United States in 1934). Other pencil marks on inside back cover.",11,,11
2020.016.011,"USSR in Construction No. 12, 1934",43111,Animal Industries; Colonialism & Indigenous Cultures; Heavy Industry & Raw Materials; Labor & Workers; Mining & Resource Extraction,Sakhalin; Indigenous Integration; Resource Extraction,Sakhalin (Russia)—History—20th century; Indigenous peoples—Russia (Federation)—Sakhalin; Coal mines and mining—Soviet Union; Fisheries—Soviet Union; Soviet Union—Economic conditions—1917–1945,Russia,USSR,G. L. Pyatakov,M. B. Alpert; V. S. Kinrlovski; N. M. Yakovlev,N. M. Yakovlev; M. S. Ancharova,N.S. Troshin,Z. P. Deineka,,State Fine Arts Press,,"Brown cover page with the title in brown in the middle. This issue talks abous the development of the island Sakhalin - previously a prison-island of the Tsarist regime that was then occupied by the Japanese after the Russo-Japanese War, before finally being retaken in 1925. It compares the prosperity and development of the island between Japanese and Soviet control, highlighting through picture collages and short descriptive paragraphs the vast improvements made to the industries of oil, fishing, coal, timber, and agriculture. It also briefly discusses the indigenous Gilyak (or Nivkh) population, for whom the magazine boasts a tremendous increase in quality of life thanks to Soviet intervention.",12,,12
2020.016.012,"USSR in Construction No. 1, 1935",43112,Labor & Workers; Aviation Technology,Aviation and Propaganda,"Aeronautics — Soviet Union — History — 20th century; Aircraft industry — Soviet Union — History — 20th century; Civil aviation — Soviet Union — History — 20th century; Gorky, Maksim, 1868-1936 — Influence; Airplanes — Soviet Union — Design and construction",Russia,USSR,G. L. Pyatakov,G. Petrusov; Alpert; Eremin; Glider; Kudoyarov; Lipskerov; Oshurkov; Penson; Prekhner; Sanko; Soyusphoto; Friedland; Sternberg,-,-,Z. Deineka,,State Fine Arts Press; State Publishing House of Graphic Arts,,"Blue-grey gradient cover page with a red plane. The title is in brown. This issue is dedicated to the ""Maxim Gorki Agitational Sqaudron"", a squad of aircrafts whose purpose was to spread the tenets and achievements of communism throught industry and factory visits, and the distribution of agitational literature. The flagship was ""Maxmi Gorki"", an eight-engine aircraft that could seat up to 70 passengers and was the largest of its kind in the early 1930s. The magazine highlights a few of the planes of the squadron, before focusing on the flagship and emphasizing it as a technological marvel. It contains a map charting the flight paths traveled by the squadron as of January 1934, images of the people and regions it visited, as well as the important figures transported. The magazine contains two large fold-out spreads, and the last page lists the factories and industries that participated in the building of the flagship.",1,,1
2023.021.002,"USSR in Construction No. 2, 1935",51841,Children & Childcare; Global Exchange & Trade; Heavy Industry & Raw Materials; Labor & Workers; Mining & Resource Extraction,Coal and Steel; Industrialization and Labor,Coal mines and mining — Soviet Union — History — 20th century; Iron industry and trade — Soviet Union — History — 20th century; Steel industry and trade — Soviet Union — History — 20th century; Kuznetsk Basin (Russia) — History — 20th century; Children — Soviet Union — Social conditions — 20th century,Russia,USSR,G. L. Pyatakov,A. Skurikhin,-,-,-,,State Publishing House of the RSFSR; The State Publishing House of Graphic Arts,,"USSR in Construction: an Illustrated Monthly Magazine, No. 2, February 1935. Dark brown cover with beige and orange writing on cover. Material language is English (magazine was published in four languages: Russian, English, German, and French). Issue is particularly interested in coal mining in Kuzbass as well as steel production and railways. Later pages discuss zinc mining, oil, and ""The Children of Stalinsk"" educated in an on-site nurseries and kindergartens.",2,,2
2020.016.013,"USSR in Construction No. 3-4, 1935",43113,Animal Industries; Colonialism & Indigenous Cultures; Collectivization & State Farms; Heavy Industry & Raw Materials; Labor & Workers; Mining & Resource Extraction,Soviet Far East development; Indigenous cultures; Birobidzhan Jewish Autonomous Region; Komsomolsk industrialization; Fisheries and whaling; Gold and coal mining; Collective farming and multicultural settlement,Soviet Union—Economic policy—1928–1937; Soviet Union—Colonization; Jews—Russia (Federation)—History—20th century; Indigenous peoples—Russia (Federation)—Social conditions; Industries—Russia (Federation)—Far East; Collective farms—Soviet Union; Soviet Union—Politics and government—1925–1953,"Russia, China, Japan",USSR,G. L. Pyatakov,M. Alpert (main); G. A. Ushakov; V. Berezkin,-,Ism. Urasov,-,,State Fine Arts Press,,"Cover page depicts a rippling body of water with mountains in the distance. The title is in blue in the bottom right. This double issue focuses on the development in the Soviet Union's ""Far East"" regions. Spreads include images of the towns of Vladivostok, Khabarovsk, and Komsomolsk, with short paragraphs highlighting improvements in railroad infrastructure, education, and town-factories, as well as the implementation of gold mines, fisheries, whaling, and deer horn exportation (to China and Japan). A large section is dedicate to the Jewish automonous region of Birobijan, highlighting their successes in quality of life, agriculture, theatre, and industry. The magazine puts a great deal of effort into separating them from the ""Jews of the ghettos of Poland, Lithuania, White Russia"", describing them as ""shrinking, downtrodden"". A section is dedicated to children and youths, highlighting education and pioneer camps, and even outlines the activities of a Korean school in Vladivostok.",3-4,-4,3
2024.056.009,"USSR in Construction No. 5, 1935",56979,Global Exchange & Trade; Heavy Industry & Raw Materials; Labor & Workers,Oil Industry,Petroleum industry and trade — Soviet Union — History; Oil fields — Azerbaijan — Baku — History; Baku (Azerbaijan) — Economic conditions — 20th century,Russia; Azerbaijan,USSR,G. L. Pyatakov,M. Alpert; G. Petrusov; Sherbakov; Azneft Archives; The Museum of Revolution,N. Starov,-,-,,"State Publishing House of Graphic Arts; Pyatakov, G. L.",,"Red and Light Brown cover. Colored ink pages. The content is related to the oil industry of Baku, names connected with the industry, the transformation of society, and how it was nationalised in Azerbaijan. Baku oil industry pictures.",5,,5
2020.016.014,"USSR in Construction No. 6, 1935",43114,"Children & Childcare; Women & Gender Roles; Youth, Culture, & Education",Childhood and Education; Youth and Education,Children — Soviet Union — History; Child welfare — Soviet Union; Education — Soviet Union — History; Communism and children — Soviet Union; Youth organizations — Soviet Union; Pioneers (Communist youth organization) — Soviet Union; Women — Soviet Union — Social conditions; Family policy — Soviet Union; Five-year plans (Soviet Union); Socialism and culture — Soviet Union; Soviet Union — Social conditions — 1917–1945,Soviet Union; Russia; Uzbekistan; Kyrgyzstan; Azerbaijan; Ukraine,USSR,G. L. Pyatakov,E. Mikulin; S. Friedland; Soyusphoto,-,-,Z. Deineka,,State Fine Arts Press,,"Light blue cover page with the title in white in the middle. This issue focuses on children, highlighting the importance of having a large and robust population to the success of the Soviet Union. Sections are dedicated to hospitals, kindergardens, life on collective farms, and summer play centers. The magazine highlights an increase in expenditure towards education, as well the rapid popuation growth experienced by the USSR in comparison to that of Western European nations. Education is given substantial focus in this edition as well, both in cities and rural towns, with children being shown interacting with various industry professionals and other extra curricular activities. The Central House For the Artistic Education of Children is also highlighted, with some of their artistic creations being imaged in the magazine. Pioneer camps are showcased as well, with collages demonstrating the various activities and outdoor skills learned by children there.",6,,6
2020.016.015,"USSR in Construction No. 8, 1935",43115,Labor & Workers; Women & Gender Roles; Transportation Infrastructures,Moscow Metro; Construction and Labor,"Moscow (Russia). Metropolitan Transit Authority — History — 20th century; Subways — Russia (Federation) — Moscow — Design and construction; Subways — Political aspects — Soviet Union; Subways — Social aspects — Soviet Union; Public works — Soviet Union — History — 20th century; Stalin, Joseph, 1878-1953 — Quotations; Labor — Soviet Union — History — 20th century; Women construction workers — Soviet Union; Excavation (Civil engineering) — Russia (Federation) — Moscow; Tunnels — Design and construction — Soviet Union.",Soviet Union; Russia; Uzbekistan; Kyrgyzstan; Azerbaijan; Ukraine,USSR,G. L. Pyatakov,G. G. Petrusov; Velikanin; V. Shagin; Yegorov; Kalashnikov; Historical Museum; Soysphoto; Mossoyusphoto,Victor Shilovsky,N. S. Troshin,Z. Deineka,,State Fine Arts Press; The State Publishing House of Graphic Arts,,"Dark and light grey cover page with the title in blue. This issue is dedicated to the construction of the Metro train system in Moscow. The magazine details the history of Moscow and its expansion since 1367, utilizing images, documents, and maps to do so. The magazine underscores that the decision to construct the Metro system was a great underaking, and outlines the processes behind planning, implementing, and building the various over-and-underground tunnels, as well as important stations. Spanshots of a few workers and their life stories are provided, as well as their motivations for helping with the Metro development. At the end of the magazine, a map is provided showing the built and in-development routes and stations of the Moscow Metro.",8,,8
2020.016.016,"USSR in Construction No. 10, 1935",43116,Animal Industries; Colonialism & Indigenous Cultures; Global Exchange & Trade; Labor & Workers; Scientific Research & Technology,Fur trade; hunting and trapping; scientific breeding of animals for fur; Indigenous communities,Fur trade—Soviet Union—History—20th century; Wildlife conservation—Soviet Union; Soviet Union—Economic policy—1928–1937; Indigenous peoples—Soviet Union—Social conditions,Russia; Kazakhstan; Uzbekistan,USSR,G. L. Pyatakov,"M. Prekhner; D. Debabov; G. Sashalski; N. Shestakov; S. Bamuner; N. Shekutyev; M. Prishvin

","M. Ginzburg; M. M. Prishvin (stories); P. M. Prishvin (captions)

",V. A. Favorski,-,,State Fine Arts Press,,"The cover depicts an aerial image of a fur pelt that extends into the back cover too. The title is in red in the top right of the cover. This issue focuses on the history and development of the Soviet fur industry, comparing it to the Tsarist regime's inefficiency and corruption in said industry. The editorial note introduces author Mikhail Prishvin, utilizing excerpts of his texts that narrate his adventures in hunting sable, squirrels, artctic foxes, honey martens, hares, and mountain sheep. These excerpts are accompanied by photographs, sometimes spanning two to three fold-out pages, that feature the indigenous peoples from the Far North to the Far East. The editors have also included their own contemporary accounts of Soviet fur farms and processing. The last page has a fold-out attachment with a map showing the chief fur producing centres in the USSR.",10,,10
2019.013.001,"USSR in Construction No. 11, 1935",41039,Colonialism & Indigenous Cultures; Electricity & Power Plants; Collectivization & State Farms; Labor & Workers; Mining & Resource Extraction,Industrialization and mining in Kazakhstan; Soviet transformation of Kazakh society; Collectivization and agricultural mechanization; National identity and cultural development in the Kazakh ASSR,Soviet Union—Economic policy—1928–1937; Kazakhstan—Economic conditions—20th century; Mines and mineral resources—Kazakhstan; Collective farms—Kazakhstan; Hydroelectric power plants—Kazakhstan; Soviet Union—Politics and government—1925–1953; Indigenous peoples—Kazakhstan—Social conditions; Nationalism—Soviet Union,Kazakhstan,USSR,G. L. Pyatakov,E. Langman; D. Shulkin,L. Sobolev; O. Mikhaltseva,(Art arrangement by) A. RODCHENKO; VARVARA STEPANOVA,M. MALYUTIN,,"The State Publishing House of Graphic Arts; Pyatakov, G. L.",,"Brown cover with green and white text. Pages bound together via white string. Magazine focuses on the industrial potential of Kazakstan and discusses the abundance of natural resources in the region. Includes many large pictures of Kazakstani agricultural laborers, factory workers, scientists, young children, and women. Emphasis on the Soviet leadership's contributions towards the development of Kazakstan.",11,,11
